hero_a,hero_b,winrate,games
65,67,0.530892,437
65,69,0.526656,619
65,7,0.478114,1188
65,72,0.524691,324
65,76,0.509615,312
65,77,0.508602,930
65,79,0.572785,632
65,8,0.453362,461
65,80,0.494186,688
65,81,0.492455,729
66,1,0.578947,304
66,10,0.543902,410
66,11,0.458874,231
66,12,0.525862,232
66,13,0.516667,420
66,14,0.509434,106
66,15,0.565217,299
66,16,0.460719,751
66,17,0.5,146
66,18,0.493002,643
66,19,0.552707,351
66,2,0.498008,251
66,20,0.451902,447
66,25,0.486607,224
66,27,0.561069,262
66,3,0.508929,336
66,31,0.538053,565
66,35,0.502976,336
66,4,0.494465,271
66,50,0.514706,272
66,52,0.604167,240
66,58,0.504854,103
66,6,0.538721,297
66,60,0.513274,113
66,63,0.503521,284
66,64,0.464567,508
66,65,0.507722,518
66,67,0.529412,170
66,69,0.563636,275
66,7,0.496283,538
66,72,0.5625,192
66,76,0.556886,167
66,77,0.507009,428
66,79,0.613527,207
66,8,0.474903,259
66,80,0.523622,254
66,81,0.466216,296
67,1,0.479263,217
67,10,0.492105,380
67,11,0.448598,214
67,12,0.462264,212
67,13,0.469072,388
67,14,0.495726,117
67,15,0.526316,247
67,16,0.461049,629
67,17,0.584507,142
67,18,0.473684,494
67,19,0.553846,260
67,2,0.476364,275
67,20,0.454023,522
67,25,0.535519,183
67,27,0.507317,205
67,3,0.482759,290
67,31,0.513402,485
67,35,0.464455,211
67,4,0.47234,235
67,50,0.470588,255
67,52,0.60804,199
67,58,0.482143,112
67,6,0.5,246
67,60,0.542169,166
67,63,0.516529,242
67,64,0.478469,418
67,65,0.469108,437
67,66,0.470588,170
67,69,0.5,324
67,7,0.443723,462
67,72,0.492857,140
67,76,0.507463,134
67,77,0.453521,355
67,79,0.549223,386
67,8,0.440529,227
67,80,0.50173,289
67,81,0.478571,280
69,1,0.531148,305
69,10,0.515924,628
69,11,0.434375,320
69,12,0.526946,334
69,13,0.487765,613
69,14,0.520468,171
69,15,0.547753,356
69,16,0.446934,848
69,17,0.575,200
69,18,0.46875,736
69,19,0.53406,367
69,2,0.474531,373
69,20,0.434562,787
69,25,0.472574,237
69,27,0.5,314
69,3,0.475556,450
69,31,0.520223,717
69,35,0.463303,436
69,4,0.487654,324
69,50,0.492823,418
69,52,0.585586,333
69,58,0.540881,159
69,6,0.509434,318
69,60,0.57561,205
69,63,0.533835,399
69,64,0.496711,608
69,65,0.473344,619
69,66,0.436364,275
69,67,0.5,324
69,7,0.465054,744
69,72,0.543779,217
69,76,0.466981,212
69,77,0.501119,447
69,79,0.573935,399
69,8,0.424929,353
69,80,0.473354,319
69,81,0.482385,369
7,1,0.571429,609
7,10,0.532741,901
7,11,0.517241,464
7,12,0.525301,415
7,13,0.516537,1028
7,14,0.573034,267
7,15,0.567857,560
7,16,0.480502,1513
7,17,0.590769,325
7,18,0.471347,698
7,19,0.571429,749
7,2,0.537065,661
7,20,0.498239,1136
7,25,0.53252,492
7,27,0.52459,610
7,3,0.524971,861
7,31,0.529818,1157
7,35,0.537519,653
7,4,0.473684,608
7,50,0.500686,729
7,52,0.638047,594
7,58,0.507937,252
7,6,0.562044,548
7,60,0.593272,327
7,63,0.547945,657
7,64,0.540639,1095
7,65,0.521886,1188
7,66,0.503717,538
7,67,0.556277,462
7,69,0.534946,744
7,72,0.593023,344
7,76,0.504399,341
7,77,0.503448,870
7,79,0.60473,592
7,8,0.46833,521
7,80,0.512821,546
7,81,0.494327,617
72,1,0.432927,164
72,10,0.461538,312
72,11,0.429319,191
72,12,0.490909,165
72,13,0.457792,308
72,14,0.574713,87
72,15,0.5,224
72,16,0.421811,486
72,17,0.438776,98
72,18,0.423077,416
72,19,0.513699,292
72,2,0.458333,216
72,20,0.429333,375
72,25,0.515337,163
72,27,0.5,214
72,3,0.491803,244
72,31,0.447619,420
72,35,0.433884,242
72,4,0.432836,201
72,50,0.420792,202
72,52,0.582822,163
72,58,0.458333,96
72,6,0.485714,245
72,60,0.474138,116
72,63,0.538095,210
72,64,0.43734,391
72,65,0.475309,324
72,66,0.4375,192
72,67,0.507143,140
72,69,0.456221,217
