hero_a,hero_b,winrate,games
69,19,0.526462,359
69,2,0.477528,356
69,20,0.425703,747
69,25,0.480519,231
69,27,0.501672,299
69,3,0.486998,423
69,31,0.526549,678
69,35,0.455635,417
69,4,0.477509,289
69,50,0.486284,401
69,52,0.584848,330
69,58,0.527778,144
69,6,0.508361,299
69,60,0.575,200
69,63,0.542553,376
69,64,0.484211,570
69,65,0.473064,594
69,66,0.440476,252
69,67,0.5,304
69,7,0.471942,695
69,72,0.542453,212
69,76,0.47343,207
69,77,0.510689,421
69,79,0.560914,394
69,8,0.4273,337
69,80,0.488525,305
69,81,0.477654,358
7,1,0.567521,585
7,10,0.528868,866
7,11,0.511364,440
7,12,0.525333,375
7,13,0.51682,981
7,14,0.579767,257
7,15,0.570342,526
7,16,0.476934,1409
7,17,0.583062,307
7,18,0.475188,665
7,19,0.567568,703
7,2,0.541039,597
7,20,0.488722,1064
7,25,0.524838,463
7,27,0.516408,579
7,3,0.517748,817
7,31,0.528979,1087
7,35,0.535948,612
7,4,0.471971,553
7,50,0.495614,684
7,52,0.631119,572
7,58,0.510549,237
7,6,0.553846,520
7,60,0.585526,304
7,63,0.54201,607
7,64,0.539272,1044
7,65,0.519043,1129
7,66,0.504,500
7,67,0.535308,439
7,69,0.528058,695
7,72,0.590769,325
7,76,0.5,334
7,77,0.502375,842
7,79,0.601019,589
7,8,0.47166,494
7,80,0.506375,549
7,81,0.490132,608
72,1,0.444444,162
72,10,0.471338,314
72,11,0.417989,189
72,12,0.493506,154
72,13,0.45515,301
72,14,0.586957,92
72,15,0.495652,230
72,16,0.429806,463
72,17,0.454545,99
72,18,0.431325,415
72,19,0.514085,284
72,2,0.457944,214
72,20,0.42973,370
72,25,0.506024,166
72,27,0.526066,211
72,3,0.495575,226
72,31,0.46283,417
72,35,0.446809,235
72,4,0.437838,185
72,50,0.437811,201
72,52,0.577381,168
72,58,0.511111,90
72,6,0.47561,246
72,60,0.470085,117
72,63,0.54902,204
72,64,0.441558,385
72,65,0.478528,326
72,66,0.448087,183
72,67,0.507246,138
72,69,0.457547,212
72,7,0.409231,325
72,76,0.509091,110
72,77,0.463259,313
72,79,0.5375,160
72,8,0.425532,141
72,80,0.479675,246
72,81,0.447154,246
76,1,0.585714,140
76,10,0.480836,287
76,11,0.352201,159
76,12,0.528846,104
76,13,0.485465,344
76,14,0.550847,118
76,15,0.56682,217
76,16,0.481268,347
76,17,0.552632,114
76,18,0.485981,321
76,19,0.564706,255
76,2,0.421296,216
76,20,0.464072,334
76,25,0.470588,187
76,27,0.518987,158
76,3,0.515152,165
76,31,0.502809,356
76,35,0.485549,173
76,4,0.485207,169
76,50,0.473118,186
76,52,0.520833,144
76,58,0.43956,91
76,6,0.519608,204
76,60,0.515625,128
76,63,0.537234,188
76,64,0.472826,368
76,65,0.487106,349
76,66,0.434524,168
76,67,0.449664,149
76,69,0.52657,207
76,7,0.5,334
76,72,0.490909,110
76,77,0.472492,309
76,79,0.546667,225
76,8,0.44898,147
76,80,0.45283,265
76,81,0.492,250
77,1,0.576119,335
77,10,0.544901,657
77,11,0.447447,333
77,12,0.4947,283
77,13,0.511598,776
77,14,0.561404,228
77,15,0.560811,444
77,16,0.472558,1075
77,17,0.482394,284
77,18,0.509066,717
77,19,0.547468,632
77,2,0.47619,483
77,20,0.433989,712
77,25,0.481108,397
77,27,0.537718,517
77,3,0.519427,489
77,31,0.513172,949
77,35,0.507937,441
77,4,0.496183,393
77,50,0.5,512
77,52,0.576923,390
77,58,0.464455,211
77,6,0.495379,541
77,60,0.547009,234
77,63,0.574181,519
77,64,0.494857,875
77,65,0.489005,955
77,66,0.497596,416
77,67,0.520349,344
77,69,0.489311,421
77,7,0.497625,842
77,72,0.536741,313
77,76,0.527508,309
77,79,0.587361,538
77,8,0.44484,281
77,80,0.478185,573
77,81,0.454121,643
79,1,0.46696,227
79,10,0.45488,543
79,11,0.37224,317
79,12,0.46,250
79,13,0.399293,566
